trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
87,False,"{'a': 0.5, 'e': 0.8695000000000047}",20,0,-30.472933696798272,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
88,False,"{'a': 0.5, 'e': 0.8680000000000048}",20,0,-40.301513538668935,"{0: 10, 1: 10, 2: 0, 3: 0, 4: 0}",0
89,False,"{'a': 0.5, 'e': 0.8665000000000048}",25,0,-21.777040384730984,"{0: 15, 1: 10, 2: 0, 3: 0, 4: 0}",0
90,False,"{'a': 0.5, 'e': 0.8650000000000049}",20,0,-37.90459523219712,"{0: 9, 1: 11, 2: 0, 3: 0, 4: 0}",0
91,False,"{'a': 0.5, 'e': 0.8635000000000049}",20,0,-13.974929280438817,"{0: 13, 1: 7, 2: 0, 3: 0, 4: 0}",0
92,False,"{'a': 0.5, 'e': 0.862000000000005}",25,0,-30.982677148700056,"{0: 14, 1: 11, 2: 0, 3: 0, 4: 0}",0
93,False,"{'a': 0.5, 'e': 0.860500000000005}",20,0,-48.58759391872359,"{0: 10, 1: 9, 2: 0, 3: 1, 4: 0}",0
94,False,"{'a': 0.5, 'e': 0.8590000000000051}",25,0,-23.293463863030276,"{0: 15, 1: 10, 2: 0, 3: 0, 4: 0}",0
95,False,"{'a': 0.5, 'e': 0.8575000000000051}",30,0,-35.17893462874291,"{0: 19, 1: 11, 2: 0, 3: 0, 4: 0}",0
96,False,"{'a': 0.5, 'e': 0.8560000000000052}",20,1,-47.14751582527243,"{0: 8, 1: 11, 2: 0, 3: 0, 4: 0}",1
97,False,"{'a': 0.5, 'e': 0.8545000000000053}",35,0,-53.90818952061318,"{0: 18, 1: 17, 2: 0, 3: 0, 4: 0}",0
98,False,"{'a': 0.5, 'e': 0.8530000000000053}",20,0,-35.21634271883322,"{0: 10, 1: 10, 2: 0, 3: 0, 4: 0}",0
99,False,"{'a': 0.5, 'e': 0.8515000000000054}",25,0,-16.642020534310983,"{0: 16, 1: 9, 2: 0, 3: 0, 4: 0}",0
100,False,"{'a': 0.5, 'e': 0.8500000000000054}",25,0,-53.73581555282759,"{0: 11, 1: 14, 2: 0, 3: 0, 4: 0}",0
101,False,"{'a': 0.5, 'e': 0.8485000000000055}",25,5,-18.303528751944974,"{0: 12, 1: 8, 2: 0, 3: 0, 4: 0}",1
102,False,"{'a': 0.5, 'e': 0.8470000000000055}",25,0,-21.435918662544072,"{0: 21, 1: 3, 2: 0, 3: 0, 4: 1}",0
103,False,"{'a': 0.5, 'e': 0.8455000000000056}",25,0,-17.925103473042856,"{0: 16, 1: 9, 2: 0, 3: 0, 4: 0}",0
104,False,"{'a': 0.5, 'e': 0.8440000000000056}",30,5,-3.083741170946527,"{0: 18, 1: 7, 2: 0, 3: 0, 4: 0}",1
105,False,"{'a': 0.5, 'e': 0.8425000000000057}",20,0,18.241239606862774,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
106,False,"{'a': 0.5, 'e': 0.8410000000000057}",35,0,-23.82964401368075,"{0: 23, 1: 12, 2: 0, 3: 0, 4: 0}",0
107,False,"{'a': 0.5, 'e': 0.8395000000000058}",20,0,-37.20346637590223,"{0: 10, 1: 10, 2: 0, 3: 0, 4: 0}",0
108,False,"{'a': 0.5, 'e': 0.8380000000000059}",20,0,-12.941626406649512,"{0: 13, 1: 7, 2: 0, 3: 0, 4: 0}",0
109,False,"{'a': 0.5, 'e': 0.8365000000000059}",25,0,-21.740223445378067,"{0: 16, 1: 9, 2: 0, 3: 0, 4: 0}",0
110,False,"{'a': 0.5, 'e': 0.835000000000006}",20,0,-14.951342014118268,"{0: 14, 1: 6, 2: 0, 3: 0, 4: 0}",0
111,False,"{'a': 0.5, 'e': 0.833500000000006}",20,0,-8.579658121008682,"{0: 14, 1: 6, 2: 0, 3: 0, 4: 0}",0
112,False,"{'a': 0.5, 'e': 0.8320000000000061}",20,0,-27.505734325750915,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
113,False,"{'a': 0.5, 'e': 0.8305000000000061}",20,0,-36.66895782551102,"{0: 10, 1: 10, 2: 0, 3: 0, 4: 0}",0
114,False,"{'a': 0.5, 'e': 0.8290000000000062}",30,0,-33.77158840831713,"{0: 18, 1: 12, 2: 0, 3: 0, 4: 0}",0
115,False,"{'a': 0.5, 'e': 0.8275000000000062}",25,0,-43.224744408624204,"{0: 13, 1: 12, 2: 0, 3: 0, 4: 0}",0
116,False,"{'a': 0.5, 'e': 0.8260000000000063}",20,0,-15.085018416395018,"{0: 12, 1: 8, 2: 0, 3: 0, 4: 0}",0
117,False,"{'a': 0.5, 'e': 0.8245000000000063}",20,0,-38.062236941244066,"{0: 10, 1: 10, 2: 0, 3: 0, 4: 0}",0
118,False,"{'a': 0.5, 'e': 0.8230000000000064}",30,0,-7.408466902265029,"{0: 21, 1: 9, 2: 0, 3: 0, 4: 0}",0
119,False,"{'a': 0.5, 'e': 0.8215000000000064}",25,0,-41.878764233714236,"{0: 13, 1: 12, 2: 0, 3: 0, 4: 0}",0
120,False,"{'a': 0.5, 'e': 0.8200000000000065}",20,0,-120.77541678883054,"{0: 8, 1: 10, 2: 0, 3: 0, 4: 2}",0
121,False,"{'a': 0.5, 'e': 0.8185000000000066}",25,0,-49.57217849017331,"{0: 12, 1: 13, 2: 0, 3: 0, 4: 0}",0
122,False,"{'a': 0.5, 'e': 0.8170000000000066}",30,2,-24.37564126909934,"{0: 18, 1: 10, 2: 0, 3: 0, 4: 0}",1
123,False,"{'a': 0.5, 'e': 0.8155000000000067}",30,0,-55.84740597270421,"{0: 15, 1: 15, 2: 0, 3: 0, 4: 0}",0
124,False,"{'a': 0.5, 'e': 0.8140000000000067}",30,0,-23.885933151420755,"{0: 19, 1: 11, 2: 0, 3: 0, 4: 0}",0
125,False,"{'a': 0.5, 'e': 0.8125000000000068}",20,0,-41.13786866051387,"{0: 9, 1: 11, 2: 0, 3: 0, 4: 0}",0
126,False,"{'a': 0.5, 'e': 0.8110000000000068}",20,0,-20.73137297258982,"{0: 12, 1: 8, 2: 0, 3: 0, 4: 0}",0
127,False,"{'a': 0.5, 'e': 0.8095000000000069}",20,0,-74.22258113302809,"{0: 10, 1: 9, 2: 0, 3: 0, 4: 1}",0
128,False,"{'a': 0.5, 'e': 0.8080000000000069}",25,0,-43.26945888309803,"{0: 12, 1: 13, 2: 0, 3: 0, 4: 0}",0
129,False,"{'a': 0.5, 'e': 0.806500000000007}",20,12,12.734327864265602,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
130,False,"{'a': 0.5, 'e': 0.805000000000007}",25,0,-44.2254722563888,"{0: 13, 1: 12, 2: 0, 3: 0, 4: 0}",0
131,False,"{'a': 0.5, 'e': 0.8035000000000071}",20,0,-31.039009708802165,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
132,False,"{'a': 0.5, 'e': 0.8020000000000072}",30,5,-26.312725418281822,"{0: 15, 1: 10, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.5, 'e': 0.8005000000000072}",20,0,-33.603786799648326,"{0: 10, 1: 10, 2: 0, 3: 0, 4: 0}",0
134,False,"{'a': 0.5, 'e': 0.7990000000000073}",25,0,-53.51596791331585,"{0: 14, 1: 10, 2: 0, 3: 1, 4: 0}",0
135,False,"{'a': 0.5, 'e': 0.7975000000000073}",20,0,-31.520124453270196,"{0: 10, 1: 10, 2: 0, 3: 0, 4: 0}",0
136,False,"{'a': 0.5, 'e': 0.7960000000000074}",20,0,-31.59751526362969,"{0: 10, 1: 10, 2: 0, 3: 0, 4: 0}",0
137,False,"{'a': 0.5, 'e': 0.7945000000000074}",25,0,-25.725841196494983,"{0: 15, 1: 10, 2: 0, 3: 0, 4: 0}",0
